                 List of relations
 Schema |          Name           | Type  | Owner  
--------+-------------------------+-------+--------
 public | concurrency_limit       | table | kestra
 public | dashboards              | table | kestra
 public | execution_queued        | table | kestra
 public | executions              | table | kestra
 public | executordelayed         | table | kestra
 public | executorstate           | table | kestra
 public | flow_topologies         | table | kestra
 public | flows                   | table | kestra
 public | flyway_schema_history   | table | kestra
 public | kv_metadata             | table | kestra
 public | logs                    | table | kestra
 public | metrics                 | table | kestra
 public | multipleconditions      | table | kestra
 public | namespace_file_metadata | table | kestra
 public | queues                  | table | kestra
 public | service_instance        | table | kestra
 public | settings                | table | kestra
 public | sla_monitor             | table | kestra
 public | templates               | table | kestra
 public | triggers                | table | kestra
 public | worker_job_running      | table | kestra
(21 rows)

